ID,timestamp,X1,X2,X5,X7,X8
5353,11521,36.47,30.63,36.15,36.15,36.31
1368,11521,36.47,30.63,36.15,36.15,36.31
2622,11521,36.47,30.63,36.15,36.15,36.31
3990,11521,36.47,30.63,36.15,36.15,36.31
1,11523,36.47,30.63,36.15,36.15,36.31
1369,11531,35.52,31.11,36.62,36.31,36.15
3991,11531,35.52,31.11,36.62,36.31,36.15
2623,11531,35.52,31.11,36.62,36.31,36.15
5354,11532,35.52,31.11,36.62,36.31,36.15
2,11533,35.52,31.11,36.62,36.31,36.15
2624,11541,35.68,30.63,36.15,35.99,35.84
1370,11541,35.68,30.63,36.15,35.99,35.84
3992,11541,35.68,30.63,36.15,35.99,35.84
5355,11542,35.68,30.63,36.15,35.99,35.84
3,11543,35.68,30.63,36.15,35.99,35.84
1371,11552,35.84,30.79,,,
5356,11552,35.84,30.79,,,
3993,11552,35.84,30.79,,,
2625,11552,35.84,30.79,,,
4,11553,35.84,30.79,,,
2626,11562,35.99,30.63,36.31,36.15,35.99
5357,11562,35.99,30.63,36.31,36.15,35.99
3994,11562,35.99,30.63,36.31,36.15,35.99
1372,11562,35.99,30.63,36.31,36.15,35.99
5,11564,35.99,30.63,36.31,36.15,35.99
3995,11572,36.15,30.63,36.15,35.99,35.84
1373,11572,36.15,30.63,36.15,35.99,35.84
2627,11572,36.15,30.63,36.15,35.99,35.84
5358,11573,36.15,30.63,36.15,35.99,35.84
6,11574,36.15,30.63,36.15,35.99,35.84
3996,11582,36.15,30.32,36.15,35.99,36.47
2628,11582,36.15,30.32,36.15,35.99,36.47
1374,11582,36.15,30.32,36.15,35.99,36.47
5359,11583,36.15,30.32,36.15,35.99,36.47
7,11584,36.15,30.32,36.15,35.99,36.47
1375,11593,35.99,30.47,36.47,35.84,35.68
3997,11593,35.99,30.47,36.47,35.84,35.68
2629,11593,35.99,30.47,36.47,35.84,35.68
5360,11593,35.99,30.47,36.47,35.84,35.68
8,11594,35.99,30.47,36.47,35.84,35.68
2630,11603,36.15,30.79,36.62,35.84,35.68
3998,11603,36.15,30.79,36.62,35.84,35.68
1376,11603,36.15,30.79,36.62,35.84,35.68
5361,11604,36.15,30.79,36.62,35.84,35.68
9,11605,36.15,30.79,36.62,35.84,35.68
1377,11613,36.62,30.63,36.62,35.84,
3999,11613,36.62,30.63,36.62,35.84,
2631,11613,36.62,30.63,36.62,35.84,
5362,11614,36.62,30.63,36.62,35.84,
10,11615,36.62,30.63,36.62,35.84,
4000,11623,36.15,30.95,36.31,36.15,35.52
2632,11623,36.15,30.95,36.31,36.15,35.52
1378,11623,36.15,30.95,36.31,36.15,35.52
5363,11624,36.15,30.95,36.31,36.15,35.52
11,11625,36.15,30.95,36.31,36.15,35.52
5364,11634,36.31,30.79,36.78,36.15,36.47
1379,11634,36.31,30.79,36.78,36.15,36.47
2633,11634,36.31,30.79,36.78,36.15,36.47
4001,11634,36.31,30.79,36.78,36.15,36.47
12,11636,36.31,30.79,36.78,36.15,36.47
2634,11644,36.31,30.79,36.62,36.15,35.99
4002,11644,36.31,30.79,36.62,36.15,35.99
1380,11644,36.31,30.79,36.62,36.15,35.99
5365,11645,36.31,30.79,36.62,36.15,35.99
13,11646,36.31,30.79,36.62,36.15,35.99
1381,11654,36.31,30.79,36.47,35.52,35.68
4003,11654,36.31,30.79,36.47,35.52,35.68
2635,11654,36.31,30.79,36.47,35.52,35.68
5366,11655,36.31,30.79,36.47,35.52,35.68
14,11656,36.31,30.79,36.47,35.52,35.68
2636,11665,36.15,30.79,36.62,35.52,35.68
1382,11665,36.15,30.79,36.62,35.52,35.68
5367,11665,36.15,30.79,36.62,35.52,35.68
4004,11665,36.15,30.79,36.62,35.52,35.68
15,11666,36.15,30.79,36.62,35.52,35.68
1383,11675,36.94,30.79,36.62,35.99,35.36
4005,11675,36.94,30.79,36.62,35.99,35.36
2637,11675,36.94,30.79,36.62,35.99,35.36
5368,11675,36.94,30.79,36.62,35.99,35.36
16,11677,36.94,30.79,36.62,35.99,35.36
2638,11685,36.78,30.95,36.62,36.15,35.84
1384,11685,36.78,30.95,36.62,36.15,35.84
4006,11685,36.78,30.95,36.62,36.15,35.84
5369,11686,36.78,30.95,36.62,36.15,35.84
17,11687,36.78,30.95,36.62,36.15,35.84
1385,11695,36.78,30.95,37.1,35.99,36.31
2639,11695,36.78,30.95,37.1,35.99,36.31
4007,11695,36.78,30.95,37.1,35.99,36.31
5370,11696,36.78,30.95,37.1,35.99,36.31
18,11697,36.78,30.95,37.1,35.99,36.31
4008,11706,37.57,31.42,36.94,36.62,36.62
5371,11706,37.57,31.42,36.94,36.62,36.62
1386,11706,37.57,31.42,36.94,36.62,36.62
2640,11706,37.57,31.42,36.94,36.62,36.62
19,11707,37.57,31.42,36.94,36.62,36.62
4009,11716,38.04,31.58,37.1,36.78,36.15
1387,11716,38.04,31.58,37.1,36.78,36.15
5372,11716,38.04,31.58,37.1,36.78,36.15
2641,11716,38.04,31.58,37.1,36.78,36.15
20,11718,38.04,31.58,37.1,36.78,36.15
2642,11726,38.04,31.58,37.41,36.62,36.47
4010,11726,38.04,31.58,37.41,36.62,36.47
1388,11726,38.04,31.58,37.41,36.62,36.47
5373,11727,38.04,31.58,37.41,36.62,36.47
21,11728,38.04,31.58,37.41,36.62,36.47
1389,11736,38.2,,37.73,36.47,36.47
4011,11736,38.2,,37.73,36.47,36.47
2643,11736,38.2,,37.73,36.47,36.47
5374,11737,38.2,,37.73,36.47,36.47
22,11738,38.2,,37.73,36.47,36.47
1390,11747,38.04,31.74,37.41,36.62,36.31
4012,11747,38.04,31.74,37.41,36.62,36.31
5375,11747,38.04,31.74,37.41,36.62,36.31
2644,11747,38.04,31.74,37.41,36.62,36.31
23,11748,38.04,31.74,37.41,36.62,36.31
1391,11757,38.2,31.89,37.73,36.78,36.62
2645,11757,38.2,31.89,37.73,36.78,36.62
4013,11757,38.2,31.89,37.73,36.78,36.62
5376,11758,38.2,31.89,37.73,36.78,36.62
24,11759,38.2,31.89,37.73,36.78,36.62
4014,11767,37.73,32.05,37.73,36.62,36.94
1392,11767,37.73,32.05,37.73,36.62,36.94
2646,11767,37.73,32.05,37.73,36.62,36.94
5377,11768,37.73,32.05,37.73,36.62,36.94
25,11769,37.73,32.05,37.73,36.62,36.94
4015,11777,37.57,32.21,37.57,36.62,35.99
1393,11777,37.57,32.21,37.57,36.62,35.99
2647,11777,37.57,32.21,37.57,36.62,35.99
5378,11778,37.57,32.21,37.57,36.62,35.99
26,11779,37.57,32.21,37.57,36.62,35.99
4016,11788,37.41,32.05,,36.62,36.62
